V24_d000_A1p_state0.jack 0.139711 0.000199443
V24_d000_A1p_state1.jack 0.210318 0.000320761
V24_d000_A1p_state2.jack 0.262939 0.000445265
V24_d000_A1p_state3.jack 0.301455 0.000334574
V24_d001_A1_state0.jack 0.15652 0.000269502
V24_d001_A1_state1.jack 0.223359 0.000349643
V24_d001_A1_state2.jack 0.259509 2.80268e-05
V24_d001_A1_state3.jack 0.270735 0.000327142
V24_d001_A1_state4.jack 0.305626 0.00030321
V24_d002_A1_state0.jack 0.139167 0.000129103
V24_d002_A1_state1.jack 0.182345 0.00014189
V24_d002_A1_state2.jack 0.208105 0.000183772
V24_d002_A1_state3.jack 0.246603 0.000193784
V24_d002_A1_state4.jack 0.258432 0.000222601
V24_d002_A1_state5.jack 0.292591 0.000272807
V24_d002_A1_state6.jack 0.306382 0.000113183
V24_d011_A1_state0.jack 0.166716 0.000144637
V24_d011_A1_state1.jack 0.17727 0.000234224
V24_d011_A1_state2.jack 0.228735 4.2575e-05
V24_d011_A1_state3.jack 0.23547 0.000254743
V24_d011_A1_state4.jack 0.267122 9.38964e-05
V24_d011_A1_state5.jack 0.276902 0.000181218
V24_d111_A1_state0.jack 0.17502 0.000112715
V24_d111_A1_state1.jack 0.194677 0.000472791
V24_d111_A1_state2.jack 0.2729 6.48162e-05
V24_d111_A1_state3.jack 0.284832 4.99481e-05
V24_d111_A1_state4.jack 0.293973 0.000697471
